[275, 2340, 2848, 3269, 3112, 2056, 1313, 852, 1730, 2647, 1863, 2550, 800, 1401, 1856, 3082, 1538, 3135, 626, 101, 2185, 2150, 2427, 1198, 2829, 411, 2560, 2578, 2296, 2913]
[1705, 2409, 1669, 343, 2866, 3127, 2892, 209, 3283, 2962, 1218, 2563, 1790, 1262, 1632, 934, 712, 2745, 2922, 1795, 3114, 1336, 532, 2270, 1476, 678, 1087, 974, 392, 1932]
[741, 1254, 2079, 1594, 134, 95, 486, 1670, 1732, 1889, 2095, 2202, 2453, 1739, 726, 1653, 3214, 769, 1978, 990, 2331, 2481, 1008, 916, 2718, 2646, 1162, 1449, 1103, 3018]
[1314, 1328, 910, 1468, 2305, 1747, 1216, 477, 1434, 3246, 597, 2551, 244, 3, 249, 1566, 126, 1295, 926, 2133, 2427, 2744, 42, 1264, 3198, 1946, 547, 1937, 959, 555]
[1504, 2465, 1916, 343, 1361, 1840, 3325, 2384, 81, 1690, 2453, 539, 2084, 291, 1677, 115, 2080, 2525, 1374, 437, 27, 1228, 2797, 1399, 1609, 3068, 893, 2251, 18, 1049]
[2588, 3173, 202, 498, 1960, 1639, 3320, 1124, 788, 2976, 977, 1227, 666, 3248, 1772, 1714, 1616, 2851, 848, 2190, 3043, 1517, 1657, 1535, 1453, 3166, 552, 2616, 1536, 1072]
[1099, 608, 2996, 1830, 2470, 2289, 734, 1759, 534, 312, 1250, 1796, 687, 706, 2368, 2080, 19, 2788, 2614, 1909, 59, 453, 1703, 1252, 2427, 3288, 1387, 1472, 798, 83]
[2325, 603, 3323, 2540, 877, 718, 2478, 1080, 2966, 2056, 338, 621, 3105, 2343, 2671, 3063, 1339, 2682, 1616, 2644, 48, 296, 1034, 2474, 1389, 2337, 893, 579, 1231, 2977]
[1359, 2938, 1619, 2760, 2796, 2595, 2038, 3090, 3074, 248, 1237, 26, 3069, 416, 1345, 2745, 2628, 2188, 815, 3212, 3290, 453, 1480, 2528, 2051, 3288, 2898, 1020, 293, 1200]
[3259, 1205, 155, 1633, 950, 1481, 3268, 1529, 3076, 2838, 447, 3069, 1237, 1728, 1968, 2683, 2745, 111, 1752, 888, 773, 2714, 3030, 3262, 1012, 1536, 3153, 860, 1380, 319]
[286, 1403, 2068, 2173, 1375, 818, 1584, 1951, 995, 1840, 1143, 714, 2306, 2267, 372, 2677, 2126, 1249, 1841, 2016, 468, 2045, 220, 206, 1590, 2220, 2729, 2005, 2610, 2557]
[2268, 665, 2743, 1650, 2545, 1348, 1019, 1350, 3283, 1548, 3251, 1489, 225, 1143, 2029, 1978, 2716, 2864, 2987, 1846, 704, 2204, 426, 2061, 2247, 385, 2009, 1046, 359, 989]
[3045, 1397, 1799, 1523, 2250, 925, 3016, 2791, 2107, 1759, 1930, 832, 330, 3276, 1553, 2658, 1295, 1268, 2922, 1917, 2961, 1630, 2735, 2728, 1980, 545, 234, 928, 1890, 1914]
[2688, 1368, 699, 813, 3164, 2536, 2970, 2035, 2884, 1833, 1936, 2086, 2094, 949, 2975, 3305, 2788, 3274, 118, 2863, 1499, 2935, 1181, 307, 59, 637, 1780, 1615, 1425, 87]
[1561, 2469, 1212, 2996, 629, 601, 1804, 445, 1185, 651, 1037, 1134, 554, 2096, 843, 1340, 2694, 106, 1538, 111, 1657, 2137, 1351, 1117, 880, 2085, 729, 1087, 1789, 133]
[217, 785, 781, 876, 2545, 1833, 2812, 318, 1838, 348, 2974, 3050, 554, 3052, 689, 1183, 2683, 1276, 1148, 85, 1480, 1630, 3290, 267, 439, 3299, 2327, 1026, 1270, 3304]
[2022, 2511, 431, 629, 1192, 1337, 1942, 2849, 1067, 2459, 2607, 3286, 697, 2171, 2983, 7, 3212, 2614, 1934, 2491, 1612, 395, 2286, 2630, 1008, 2557, 3060, 2452, 1536, 385]
[50, 2878, 2325, 1119, 2876, 644, 151, 237, 2645, 2317, 3155, 3006, 1769, 2808, 597, 112, 2269, 3321, 1972, 471, 414, 3115, 267, 2488, 543, 638, 2207, 519, 1098, 412]
